Wall time,Step,Value
1553911777.6140535,0,68.77076721191406
1553911794.7977374,1,80.23255920410156
1553911812.2699962,2,82.55813598632812
1553911830.1732802,3,82.72425079345703
1553911847.1416342,4,86.54485321044922
1553911864.3423748,5,88.3720932006836
1553911881.4224312,6,90.28239440917969
1553911898.411515,7,92.69103240966797
1553911916.3554974,8,94.68438720703125
1553911933.3670137,9,95.51495361328125
1553911950.5315447,10,96.59468078613281
1553911968.0928543,11,97.42524719238281
1553911985.159497,12,97.59136199951172
1553912001.958879,13,98.58804321289062
1553912018.9234889,14,99.08638000488281
1553912036.0705838,15,98.754150390625
1553912053.1999624,16,99.584716796875
1553912070.7753174,17,98.5049819946289
1553912088.4629235,18,99.3355484008789
1553912105.6281164,19,99.4186019897461
1553912122.78261,20,99.4186019897461
1553912140.4993165,21,99.50166320800781
1553912157.3399906,22,99.66777038574219
1553912174.4064627,23,99.4186019897461
1553912191.5510209,24,100.0
1553912208.7195814,25,99.584716796875
1553912225.9835358,26,99.91694641113281
1553912243.1703627,27,99.8338851928711
1553912260.1374524,28,99.584716796875
1553912277.0139313,29,99.584716796875
1553912294.1629536,30,99.91694641113281
1553912311.386422,31,99.91694641113281
1553912328.5774546,32,99.91694641113281
1553912345.7158082,33,99.8338851928711
1553912362.6769664,34,99.8338851928711
1553912379.7785041,35,99.8338851928711
1553912396.5962903,36,99.91694641113281
1553912413.5520728,37,99.91694641113281
1553912430.560071,38,99.91694641113281
1553912447.6152887,39,99.91694641113281
1553912464.6630814,40,99.50166320800781
1553912482.380005,41,99.91694641113281
1553912499.191081,42,99.91694641113281
1553912516.1450024,43,99.7508316040039
1553912533.1358242,44,99.8338851928711
1553912550.2582068,45,100.0
1553912567.0405285,46,99.91694641113281
1553912584.052777,47,99.8338851928711
1553912601.3384407,48,99.91694641113281
1553912618.3799005,49,100.0
