Wall time,Step,Value
1552526711.6946857,0,72.923583984375
1552526722.068268,1,82.55813598632812
1552526733.025201,2,84.55149841308594
1552526744.0020268,3,92.60797119140625
1552526754.6163616,4,96.76079559326172
1552526765.0838726,5,98.58804321289062
1552526776.1623125,6,99.0033187866211
1552526786.571197,7,99.0033187866211
1552526797.746629,8,99.16943359375
1552526808.207459,9,99.25249481201172
1552526818.7691398,10,99.4186019897461
1552526829.2816586,11,99.66777038574219
1552526839.9442248,12,99.7508316040039
1552526850.6569982,13,99.91694641113281
1552526861.0158126,14,99.91694641113281
1552526871.2780213,15,99.4186019897461
1552526881.6193027,16,98.58804321289062
1552526892.0251255,17,99.584716796875
1552526902.5374541,18,99.66777038574219
1552526913.1280515,19,99.4186019897461
1552526923.7048092,20,99.7508316040039
1552526934.3049293,21,99.8338851928711
1552526944.837653,22,99.91694641113281
1552526955.412349,23,100.0
1552526965.638169,24,100.0
1552526976.1484165,25,99.91694641113281
1552526986.725882,26,99.8338851928711
1552526997.1767054,27,100.0
1552527007.495239,28,100.0
1552527017.7581153,29,100.0
1552527028.160816,30,100.0
1552527038.631812,31,100.0
1552527049.2011132,32,100.0
1552527059.9900777,33,99.8338851928711
1552527070.5446477,34,100.0
1552527081.1789262,35,100.0
1552527091.6334643,36,99.8338851928711
1552527102.1955407,37,99.8338851928711
1552527112.634528,38,99.8338851928711
1552527123.047924,39,100.0
1552527133.4674718,40,100.0
1552527144.0804148,41,100.0
1552527154.5317106,42,100.0
1552527165.075342,43,100.0
1552527175.7508647,44,100.0
1552527186.3247335,45,100.0
1552527196.9647062,46,99.91694641113281
1552527207.581298,47,99.91694641113281
1552527218.3075645,48,100.0
1552527229.0169568,49,99.8338851928711
